nombre,ps4,ps5,secundario
A Plague Tale: Innocence,7.78,7.78,5.19
A Quiet Place: The Road Ahead,,11.11,
A Way Out,8.89,6.67,4.44
Alan Wake 2,,18.15,9.26
Alan Wake Remastered,9.26,7.41,
Alone in the Dark,,20.74,10.37
Among Us,4.81,3.7,2.96
AO Tennis 2,,7.41,5.19
ARK: Survival Ascended,,14.81,7.41
ARK: Survival Evolved,11.85,7.41,5.56
Assassin's Creed III: Remastered,9.26,5.93,5.19
Assassin's Creed Mythology Pack,14.81,,
Assassin's Creed Rogue Remastered,,5.56,5.56
"Assassin's Creed Triple Pack: Black Flag, Unity, Syndicate",,9.26,5.93
Assassin's Creed Valhalla,8.52,5.93,5.19
Assassin's Creed Valhalla - Complete Edition,15.19,15.19,8.89
Assassin's Creed Valhalla - Complete Edition (Inglés),4.96,4.96,3.7
Assassin's Creed Valhalla Deluxe,,,6.67
Assassin's Creed Mirage,11.85,9.63,5.93
Assassin's Creed Mirage Deluxe Edition,,,8.52
Assassin's Creed Odyssey,,5.93,
Assassin's Creed Odyssey Deluxe Edition,,7.41,
Assassin's Creed Odyssey Gold Edition,11.11,8.89,
Assassin's Creed Origins,,,4.44
Assassin's Creed Origins - Gold Edition,7.41,7.41,6.67
Assassin's Creed Unity,,,
Assassin's Creed Mirage & Assassin's Creed Valhalla Bundle,16.3,16.3,
Assassin's Creed Shadows,,31.85,12.96
Assassin's Creed IV Black Flag,,7.41,5.19
Assassin's Creed Syndicate,6.81,5.93,4.44
Assassin's Creed The Ezio Collection,,5.19,5.19
Assassin's Creed Valhalla + Watch Dogs: Legion Bundle,,5.19,5.19
Assetto Corsa,,5.19,5.19
Assetto Corsa Competizione,,11.11,7.41
Assetto Corsa Ultimate Edition,8.89,4.44,4.44
ASTRO BOT,,5.56,4.44
ASTRO BOT Digital Deluxe Edition,,5.56,4.44
ASTRO BOT Rescue Mission,,26.67,11.85
Astroneer - Evolution Edition,,,
Avatar: Frontiers of Pandora,,7.41,
Back 4 Blood: Deluxe Edition,,,
Back 4 Blood: Standard Edition,,16.67,10.37
Back 4 Blood: Ultimate Edition,,4.81,3.7
Baldur's Gate 3,,,3.7
Batman: Arkham Collection,,5.93,4.44
